longitude,latitude,altitude
16.25,49.5,554.149
16.25,49.25,431.7088
16.25,49.0,281.46915
16.25,48.75,249.73108
16.25,48.5,237.07405
16.25,48.25,247.97208
16.25,48.0,366.0913
16.25,47.75,461.53494
16.25,47.5,478.16876
16.25,47.25,420.46667
16.25,47.0,264.26175
16.25,46.75,236.65343
16.25,46.5,212.56313
16.25,46.25,243.76584
16.25,46.0,211.56891
16.25,45.75,141.93633
16.25,45.5,147.02206
16.25,45.25,222.19925
16.5,49.75,443.79224
16.5,49.5,458.82
16.5,49.25,400.65903
16.5,49.0,248.81334
16.5,48.75,207.9745
16.5,48.5,218.03125
16.5,48.25,213.25143
16.5,48.0,212.79256
16.5,47.75,307.4714
16.5,47.5,337.7182
16.5,47.25,279.366
16.5,47.0,247.97208
16.5,46.75,229.08223
16.5,46.5,205.03008
16.5,46.25,209.19806
16.5,46.0,189.46695
16.5,45.75,116.85181
16.5,45.5,106.14489
16.5,45.25,178.30125
16.75,49.75,455.56976
16.75,49.5,409.7981
16.75,49.25,355.26978
16.75,49.0,227.70561
16.75,48.75,187.66971
16.75,48.5,209.77165
16.75,48.25,180.17499
16.75,48.0,138.03601
16.75,47.75,182.73692
16.75,47.5,214.39851
16.75,47.25,199.3325
16.75,47.0,200.13553
16.75,46.75,204.87712
16.75,46.5,189.27576
16.75,46.25,169.46817
16.75,46.0,163.80884
16.75,45.75,124.384766
16.75,45.5,146.60143
16.75,45.25,203.0035
